I,II,III,aVR,aVL,aVF
-0.04,-0.575,-0.535,0.308,0.248,-0.555
-0.04,-0.575,-0.535,0.308,0.248,-0.555
-0.04,-0.575,-0.535,0.308,0.248,-0.555
-0.04,-0.575,-0.535,0.308,0.248,-0.555
-0.04,-0.575,-0.535,0.308,0.248,-0.555
-0.04,-0.575,-0.535,0.308,0.248,-0.555
-0.04,-0.575,-0.535,0.308,0.248,-0.555
-0.04,-0.575,-0.536,0.308,0.248,-0.555
-0.041,-0.574,-0.533,0.308,0.246,-0.554
-0.047,-0.576,-0.53,0.312,0.242,-0.552
-0.055,-0.585,-0.53,0.32,0.238,-0.557
-0.059,-0.59,-0.53,0.324,0.236,-0.56
-0.063,-0.59,-0.527,0.327,0.232,-0.558
-0.066,-0.59,-0.524,0.328,0.229,-0.557
-0.065,-0.59,-0.525,0.328,0.23,-0.557
-0.065,-0.59,-0.525,0.328,0.23,-0.557
-0.069,-0.59,-0.521,0.33,0.226,-0.555
-0.071,-0.59,-0.519,0.33,0.224,-0.555
-0.07,-0.59,-0.52,0.33,0.225,-0.555
-0.071,-0.59,-0.519,0.33,0.224,-0.555
-0.075,-0.59,-0.515,0.333,0.22,-0.552
-0.079,-0.59,-0.511,0.335,0.216,-0.55
-0.083,-0.59,-0.507,0.337,0.212,-0.548
-0.087,-0.59,-0.503,0.339,0.208,-0.546
-0.091,-0.59,-0.499,0.34,0.204,-0.545
-0.095,-0.59,-0.495,0.343,0.2,-0.542
-0.098,-0.59,-0.492,0.345,0.197,-0.54
-0.073,-0.59,-0.517,0.332,0.222,-0.553
-0.056,-0.59,-0.534,0.323,0.239,-0.562
-0.061,-0.59,-0.529,0.325,0.234,-0.56
-0.06,-0.59,-0.53,0.325,0.235,-0.56
-0.06,-0.59,-0.53,0.325,0.235,-0.56
-0.06,-0.59,-0.53,0.325,0.235,-0.56
-0.06,-0.59,-0.53,0.325,0.235,-0.56
-0.06,-0.59,-0.53,0.325,0.235,-0.56
-0.06,-0.59,-0.53,0.325,0.235,-0.56
-0.06,-0.59,-0.53,0.325,0.235,-0.56
-0.061,-0.591,-0.53,0.326,0.234,-0.56
-0.057,-0.588,-0.531,0.322,0.237,-0.56
-0.066,-0.594,-0.528,0.33,0.231,-0.561
-0.09,-0.62,-0.53,0.355,0.22,-0.575
-0.066,-0.639,-0.573,0.352,0.254,-0.606
-0.06,-0.636,-0.576,0.348,0.258,-0.605
-0.067,-0.625,-0.559,0.347,0.246,-0.592
-0.065,-0.618,-0.553,0.342,0.244,-0.585
-0.065,-0.61,-0.545,0.338,0.24,-0.577
-0.065,-0.602,-0.537,0.334,0.236,-0.569
-0.065,-0.594,-0.529,0.33,0.232,-0.561
-0.066,-0.586,-0.52,0.326,0.227,-0.552
-0.064,-0.579,-0.515,0.322,0.226,-0.546
-0.055,-0.575,-0.52,0.315,0.233,-0.547
-0.05,-0.571,-0.52,0.31,0.235,-0.545
-0.05,-0.57,-0.52,0.31,0.235,-0.545
-0.049,-0.569,-0.52,0.309,0.236,-0.544
-0.044,-0.564,-0.52,0.304,0.239,-0.541
-0.04,-0.56,-0.52,0.3,0.24,-0.54
-0.04,-0.56,-0.52,0.3,0.24,-0.54
-0.037,-0.557,-0.52,0.297,0.242,-0.538
-0.034,-0.554,-0.52,0.294,0.243,-0.537
-0.035,-0.555,-0.52,0.295,0.243,-0.537
-0.035,-0.555,-0.52,0.295,0.243,-0.537
-0.035,-0.555,-0.52,0.295,0.243,-0.537
-0.038,-0.555,-0.517,0.297,0.24,-0.536
-0.041,-0.555,-0.514,0.298,0.237,-0.535
-0.04,-0.555,-0.515,0.298,0.238,-0.535
-0.04,-0.555,-0.515,0.298,0.238,-0.535
-0.04,-0.551,-0.511,0.295,0.236,-0.531
-0.04,-0.55,-0.509,0.295,0.235,-0.529
-0.04,-0.55,-0.511,0.295,0.236,-0.53
-0.041,-0.55,-0.509,0.295,0.234,-0.529
-0.045,-0.55,-0.505,0.298,0.23,-0.527
-0.045,-0.55,-0.505,0.298,0.23,-0.527
-0.044,-0.55,-0.506,0.298,0.231,-0.527
-0.047,-0.55,-0.503,0.299,0.228,-0.526
-0.05,-0.549,-0.5,0.299,0.225,-0.524
-0.045,-0.545,-0.5,0.295,0.228,-0.522
-0.044,-0.545,-0.5,0.295,0.229,-0.522
-0.048,-0.545,-0.497,0.297,0.225,-0.521
-0.051,-0.545,-0.494,0.298,0.222,-0.52
-0.05,-0.545,-0.495,0.298,0.223,-0.52
-0.05,-0.545,-0.495,0.298,0.223,-0.52
-0.054,-0.545,-0.491,0.3,0.219,-0.518
-0.055,-0.545,-0.489,0.3,0.218,-0.517
-0.055,-0.546,-0.491,0.3,0.218,-0.518
-0.055,-0.544,-0.489,0.299,0.218,-0.516
-0.05,-0.535,-0.485,0.293,0.218,-0.51
-0.042,-0.527,-0.485,0.285,0.222,-0.506
-0.034,-0.519,-0.485,0.277,0.226,-0.502
-0.026,-0.511,-0.485,0.269,0.23,-0.498
-0.019,-0.503,-0.484,0.261,0.233,-0.494
-0.015,-0.495,-0.48,0.255,0.233,-0.487
-0.011,-0.487,-0.475,0.249,0.233,-0.481
-0.006,-0.481,-0.475,0.244,0.235,-0.478
-0.007,-0.48,-0.473,0.243,0.233,-0.476
-0.01,-0.48,-0.47,0.245,0.23,-0.475
-0.01,-0.48,-0.47,0.245,0.23,-0.475
-0.014,-0.48,-0.466,0.247,0.226,-0.473
-0.019,-0.48,-0.461,0.25,0.221,-0.47
-0.02,-0.48,-0.46,0.25,0.22,-0.47
-0.021,-0.48,-0.459,0.251,0.219,-0.47
-0.025,-0.48,-0.455,0.253,0.215,-0.467
-0.021,-0.476,-0.454,0.249,0.217,-0.465
-0.016,-0.475,-0.458,0.246,0.221,-0.466
-0.015,-0.475,-0.461,0.245,0.224,-0.467
-0.015,-0.475,-0.46,0.245,0.223,-0.467
-0.015,-0.475,-0.46,0.245,0.223,-0.467
-0.011,-0.475,-0.464,0.243,0.227,-0.47
-0.01,-0.475,-0.465,0.243,0.228,-0.47
-0.01,-0.475,-0.465,0.243,0.228,-0.47
-0.01,-0.474,-0.464,0.242,0.228,-0.469
-0.01,-0.47,-0.46,0.24,0.225,-0.465
-0.01,-0.47,-0.46,0.24,0.225,-0.465
-0.009,-0.47,-0.461,0.24,0.226,-0.465
-0.012,-0.47,-0.458,0.241,0.223,-0.464
-0.016,-0.47,-0.455,0.243,0.22,-0.462
-0.015,-0.47,-0.455,0.243,0.22,-0.462
-0.014,-0.47,-0.455,0.243,0.221,-0.462
-0.019,-0.471,-0.452,0.245,0.217,-0.461
-0.019,-0.468,-0.449,0.244,0.215,-0.459
-0.023,-0.473,-0.45,0.248,0.214,-0.462
-0.04,-0.49,-0.45,0.265,0.205,-0.47
-0.042,-0.491,-0.45,0.267,0.204,-0.471
-0.036,-0.487,-0.451,0.262,0.207,-0.469
-0.052,-0.499,-0.447,0.276,0.198,-0.473
-0.062,-0.518,-0.456,0.29,0.197,-0.486
-0.035,-0.52,-0.485,0.278,0.225,-0.502
-0.037,-0.519,-0.482,0.278,0.223,-0.501
-0.047,-0.526,-0.479,0.286,0.216,-0.502
-0.052,-0.533,-0.48,0.292,0.214,-0.506
-0.056,-0.536,-0.48,0.296,0.212,-0.508
-0.06,-0.54,-0.48,0.3,0.21,-0.51
-0.061,-0.54,-0.479,0.3,0.209,-0.51
-0.059,-0.543,-0.484,0.301,0.213,-0.513
-0.079,-0.545,-0.466,0.312,0.194,-0.505
-0.084,-0.546,-0.461,0.316,0.189,-0.503
-0.045,-0.55,-0.505,0.298,0.23,-0.527
-0.048,-0.551,-0.503,0.299,0.228,-0.527
-0.045,-0.544,-0.498,0.295,0.227,-0.521
-0.023,-0.523,-0.5,0.273,0.239,-0.511
-0.028,-0.528,-0.5,0.278,0.236,-0.514
-0.07,-0.57,-0.5,0.32,0.215,-0.535
-0.069,-0.565,-0.496,0.317,0.214,-0.53
-0.058,-0.552,-0.495,0.305,0.218,-0.523
-0.053,-0.548,-0.495,0.301,0.221,-0.521
-0.048,-0.543,-0.495,0.296,0.224,-0.519
-0.04,-0.535,-0.495,0.288,0.228,-0.515
-0.031,-0.527,-0.495,0.279,0.233,-0.511
-0.03,-0.522,-0.492,0.276,0.231,-0.507
-0.028,-0.518,-0.489,0.273,0.231,-0.503
-0.024,-0.515,-0.49,0.269,0.233,-0.502
-0.025,-0.515,-0.49,0.27,0.233,-0.502
-0.026,-0.515,-0.489,0.271,0.232,-0.502
-0.019,-0.512,-0.493,0.266,0.237,-0.503
-0.029,-0.508,-0.479,0.269,0.225,-0.494
-0.029,-0.512,-0.483,0.271,0.227,-0.497
0.02,-0.51,-0.53,0.245,0.275,-0.52
0.055,-0.462,-0.517,0.204,0.286,-0.49
0.074,-0.422,-0.496,0.174,0.285,-0.458
0.132,-0.351,-0.483,0.11,0.308,-0.417
0.202,-0.235,-0.437,0.017,0.32,-0.336
0.235,-0.09,-0.325,-0.072,0.28,-0.207
0.302,0.123,-0.179,-0.212,0.24,-0.028
0.365,0.31,-0.055,-0.338,0.21,0.127
0.412,0.486,0.074,-0.45,0.169,0.28
0.429,0.651,0.221,-0.541,0.103,0.436
0.39,0.785,0.395,-0.588,-0.003,0.59
0.317,0.944,0.627,-0.631,-0.155,0.785
0.295,0.978,0.682,-0.637,-0.194,0.829
0.252,0.833,0.582,-0.542,-0.166,0.707
0.148,0.63,0.481,-0.389,-0.167,0.555
0.055,0.49,0.435,-0.273,-0.19,0.462
-0.012,0.372,0.384,-0.18,-0.198,0.378
-0.094,0.232,0.326,-0.069,-0.21,0.279
-0.198,0.08,0.278,0.059,-0.238,0.178
-0.243,-0.038,0.205,0.141,-0.224,0.083
-0.19,-0.11,0.08,0.15,-0.135,-0.015
-0.172,-0.199,-0.027,0.185,-0.072,-0.113
-0.188,-0.302,-0.113,0.246,-0.037,-0.208
-0.146,-0.343,-0.197,0.245,0.026,-0.27
-0.109,-0.354,-0.244,0.231,0.068,-0.298
-0.165,-0.405,-0.24,0.285,0.038,-0.322
-0.148,-0.412,-0.264,0.28,0.058,-0.338
-0.132,-0.409,-0.277,0.271,0.072,-0.342
-0.137,-0.41,-0.273,0.274,0.068,-0.341
-0.123,-0.41,-0.287,0.266,0.082,-0.349
-0.09,-0.41,-0.32,0.25,0.115,-0.365
-0.088,-0.41,-0.322,0.249,0.117,-0.366
-0.095,-0.413,-0.318,0.254,0.112,-0.365
-0.09,-0.416,-0.325,0.253,0.118,-0.37
-0.077,-0.415,-0.338,0.247,0.131,-0.376
-0.07,-0.415,-0.345,0.243,0.138,-0.38
-0.066,-0.416,-0.35,0.241,0.142,-0.382
-0.063,-0.411,-0.348,0.237,0.143,-0.379
-0.071,-0.428,-0.357,0.25,0.143,-0.392
-0.081,-0.454,-0.373,0.267,0.146,-0.413
-0.075,-0.455,-0.38,0.265,0.153,-0.417
-0.07,-0.455,-0.385,0.263,0.158,-0.42
-0.073,-0.455,-0.382,0.264,0.155,-0.418
-0.075,-0.455,-0.38,0.265,0.153,-0.417
-0.075,-0.455,-0.379,0.265,0.152,-0.417
-0.08,-0.455,-0.375,0.268,0.148,-0.415
-0.085,-0.459,-0.375,0.272,0.145,-0.417
-0.085,-0.46,-0.376,0.273,0.145,-0.417
-0.087,-0.46,-0.373,0.274,0.143,-0.416
-0.09,-0.46,-0.37,0.275,0.14,-0.415
-0.09,-0.46,-0.37,0.275,0.14,-0.415
-0.09,-0.46,-0.37,0.275,0.14,-0.415
-0.09,-0.457,-0.367,0.274,0.139,-0.412
-0.091,-0.455,-0.364,0.273,0.137,-0.41
-0.089,-0.454,-0.365,0.272,0.139,-0.41
-0.085,-0.45,-0.365,0.268,0.14,-0.407
-0.09,-0.45,-0.361,0.27,0.136,-0.405
-0.087,-0.447,-0.36,0.267,0.137,-0.403
-0.086,-0.445,-0.359,0.266,0.137,-0.401
-0.081,-0.444,-0.363,0.263,0.141,-0.403
-0.06,-0.435,-0.375,0.248,0.158,-0.405
-0.055,-0.427,-0.372,0.241,0.159,-0.399
-0.053,-0.419,-0.367,0.236,0.158,-0.393
-0.048,-0.411,-0.363,0.23,0.158,-0.387
