lead_I,lead_II,lead_III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
-0.04,-0.575,-0.535,0.308,0.248,-0.555,0.2,0.25,0.13,0.165,0.135,0.115
-0.04,-0.575,-0.535,0.308,0.248,-0.555,0.2,0.25,0.13,0.165,0.135,0.115
-0.04,-0.575,-0.535,0.308,0.248,-0.555,0.2,0.25,0.13,0.165,0.135,0.115
-0.04,-0.575,-0.535,0.308,0.248,-0.555,0.2,0.25,0.13,0.165,0.135,0.115
-0.04,-0.575,-0.535,0.308,0.248,-0.555,0.2,0.25,0.13,0.165,0.135,0.115
-0.04,-0.575,-0.535,0.308,0.248,-0.555,0.2,0.25,0.13,0.165,0.135,0.115
-0.04,-0.575,-0.535,0.308,0.248,-0.555,0.2,0.246,0.13,0.161,0.135,0.115
-0.04,-0.575,-0.536,0.308,0.248,-0.555,0.197,0.245,0.13,0.16,0.132,0.112
-0.041,-0.574,-0.533,0.308,0.246,-0.554,0.194,0.245,0.13,0.16,0.129,0.109
-0.047,-0.576,-0.53,0.312,0.242,-0.552,0.195,0.245,0.129,0.16,0.13,0.11
-0.055,-0.585,-0.53,0.32,0.238,-0.557,0.195,0.245,0.125,0.16,0.13,0.11
-0.059,-0.59,-0.53,0.324,0.236,-0.56,0.195,0.241,0.125,0.156,0.13,0.11
-0.063,-0.59,-0.527,0.327,0.232,-0.558,0.195,0.24,0.125,0.155,0.13,0.11
-0.066,-0.59,-0.524,0.328,0.229,-0.557,0.195,0.24,0.125,0.155,0.13,0.11
-0.065,-0.59,-0.525,0.328,0.23,-0.557,0.194,0.24,0.124,0.155,0.129,0.109
-0.065,-0.59,-0.525,0.328,0.23,-0.557,0.19,0.24,0.12,0.155,0.125,0.105
-0.069,-0.59,-0.521,0.33,0.226,-0.555,0.19,0.24,0.12,0.155,0.125,0.105
-0.071,-0.59,-0.519,0.33,0.224,-0.555,0.19,0.237,0.121,0.152,0.125,0.105
-0.07,-0.59,-0.52,0.33,0.225,-0.555,0.19,0.234,0.118,0.149,0.125,0.105
-0.071,-0.59,-0.519,0.33,0.224,-0.555,0.19,0.235,0.115,0.15,0.125,0.105
-0.075,-0.59,-0.515,0.333,0.22,-0.552,0.19,0.235,0.115,0.15,0.125,0.105
-0.079,-0.59,-0.511,0.335,0.216,-0.55,0.186,0.235,0.115,0.15,0.121,0.101
-0.083,-0.59,-0.507,0.337,0.212,-0.548,0.185,0.232,0.116,0.147,0.12,0.1
-0.087,-0.59,-0.503,0.339,0.208,-0.546,0.185,0.229,0.113,0.144,0.12,0.1
-0.091,-0.59,-0.499,0.34,0.204,-0.545,0.185,0.23,0.11,0.145,0.12,0.1
-0.095,-0.59,-0.495,0.343,0.2,-0.542,0.185,0.23,0.11,0.145,0.12,0.1
-0.098,-0.59,-0.492,0.345,0.197,-0.54,0.185,0.23,0.11,0.145,0.12,0.1
-0.073,-0.59,-0.517,0.332,0.222,-0.553,0.186,0.231,0.11,0.146,0.121,0.101
-0.056,-0.59,-0.534,0.323,0.239,-0.562,0.183,0.228,0.108,0.143,0.118,0.098
-0.061,-0.59,-0.529,0.325,0.234,-0.56,0.18,0.225,0.105,0.14,0.115,0.095
-0.06,-0.59,-0.53,0.325,0.235,-0.56,0.18,0.225,0.105,0.14,0.115,0.095
-0.06,-0.59,-0.53,0.325,0.235,-0.56,0.18,0.225,0.105,0.14,0.115,0.095
-0.06,-0.59,-0.53,0.325,0.235,-0.56,0.18,0.222,0.102,0.141,0.116,0.095
-0.06,-0.59,-0.53,0.325,0.235,-0.56,0.18,0.22,0.1,0.138,0.113,0.095
-0.06,-0.59,-0.53,0.325,0.235,-0.56,0.179,0.22,0.1,0.135,0.11,0.095
-0.06,-0.59,-0.53,0.325,0.235,-0.56,0.175,0.22,0.1,0.135,0.11,0.095
-0.06,-0.59,-0.53,0.325,0.235,-0.56,0.175,0.22,0.1,0.135,0.11,0.095
-0.061,-0.591,-0.53,0.326,0.234,-0.56,0.175,0.217,0.097,0.136,0.111,0.092
-0.057,-0.588,-0.531,0.322,0.237,-0.56,0.175,0.214,0.094,0.133,0.108,0.089
-0.066,-0.594,-0.528,0.33,0.231,-0.561,0.175,0.215,0.095,0.13,0.105,0.09
-0.09,-0.62,-0.53,0.355,0.22,-0.575,0.175,0.215,0.095,0.13,0.105,0.09
-0.066,-0.639,-0.573,0.352,0.254,-0.606,0.175,0.215,0.095,0.13,0.105,0.09
-0.06,-0.636,-0.576,0.348,0.258,-0.605,0.172,0.212,0.092,0.13,0.105,0.09
-0.067,-0.625,-0.559,0.347,0.246,-0.592,0.169,0.209,0.089,0.13,0.105,0.09
-0.065,-0.618,-0.553,0.342,0.244,-0.585,0.17,0.21,0.09,0.129,0.104,0.09
-0.065,-0.61,-0.545,0.338,0.24,-0.577,0.17,0.21,0.09,0.125,0.1,0.09
-0.065,-0.602,-0.537,0.334,0.236,-0.569,0.17,0.206,0.086,0.125,0.1,0.086
-0.065,-0.594,-0.529,0.33,0.232,-0.561,0.171,0.205,0.085,0.125,0.1,0.085
-0.066,-0.586,-0.52,0.326,0.227,-0.552,0.168,0.205,0.085,0.125,0.1,0.085
-0.064,-0.579,-0.515,0.322,0.226,-0.546,0.165,0.205,0.085,0.124,0.099,0.085
-0.055,-0.575,-0.52,0.315,0.233,-0.547,0.165,0.205,0.085,0.12,0.095,0.085
-0.05,-0.571,-0.52,0.31,0.235,-0.545,0.165,0.201,0.081,0.12,0.095,0.085
-0.05,-0.57,-0.52,0.31,0.235,-0.545,0.165,0.199,0.08,0.12,0.095,0.085
-0.049,-0.569,-0.52,0.309,0.236,-0.544,0.166,0.201,0.08,0.12,0.095,0.085
-0.044,-0.564,-0.52,0.304,0.239,-0.541,0.164,0.199,0.08,0.12,0.095,0.085
-0.04,-0.56,-0.52,0.3,0.24,-0.54,0.165,0.2,0.08,0.12,0.095,0.085
-0.04,-0.56,-0.52,0.3,0.24,-0.54,0.186,0.216,0.084,0.12,0.095,0.085
-0.037,-0.557,-0.52,0.297,0.242,-0.538,0.189,0.225,0.085,0.12,0.095,0.085
-0.034,-0.554,-0.52,0.294,0.243,-0.537,0.184,0.225,0.085,0.12,0.095,0.085
-0.035,-0.555,-0.52,0.295,0.243,-0.537,0.185,0.225,0.085,0.12,0.095,0.085
-0.035,-0.555,-0.52,0.295,0.243,-0.537,0.185,0.225,0.085,0.12,0.095,0.085
-0.035,-0.555,-0.52,0.295,0.243,-0.537,0.185,0.229,0.085,0.12,0.095,0.085
-0.038,-0.555,-0.517,0.297,0.24,-0.536,0.185,0.231,0.085,0.12,0.095,0.085
-0.041,-0.555,-0.514,0.298,0.237,-0.535,0.185,0.229,0.085,0.12,0.095,0.085
-0.04,-0.555,-0.515,0.298,0.238,-0.535,0.185,0.231,0.086,0.12,0.095,0.085
-0.04,-0.555,-0.515,0.298,0.238,-0.535,0.185,0.235,0.09,0.12,0.095,0.085
-0.04,-0.551,-0.511,0.295,0.236,-0.531,0.185,0.235,0.09,0.12,0.095,0.085
-0.04,-0.55,-0.509,0.295,0.235,-0.529,0.185,0.235,0.09,0.12,0.095,0.085
-0.04,-0.55,-0.511,0.295,0.236,-0.53,0.185,0.235,0.09,0.12,0.095,0.085
-0.041,-0.55,-0.509,0.295,0.234,-0.529,0.185,0.236,0.09,0.12,0.095,0.085
