device: cuda NVIDIA GeForce RTX 3060 Laptop GPU
train 1020 | val 180 | steps/epoch 63
C:\BRINDATA\EKG-BRIN\training\train.py:69: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dev == "cuda"))
C:\BRINDATA\EKG-BRIN\training\train.py:81: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=(dev == "cuda")):
C:\BRINDATA\EKG-BRIN\training\train.py:95: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=(dev == "cuda")):
ep   1/60 | loss 1.0909 | val Dice 0.9245 | 50.5s
ep   2/60 | loss 0.7271 | val Dice 0.9618 | 44.3s
ep   3/60 | loss 0.4415 | val Dice 0.9670 | 44.6s
ep   4/60 | loss 0.2448 | val Dice 0.9727 | 46.4s
ep   5/60 | loss 0.1467 | val Dice 0.9716 | 44.7s
ep   6/60 | loss 0.1000 | val Dice 0.9727 | 44.0s
ep   7/60 | loss 0.0810 | val Dice 0.9739 | 44.0s
ep   8/60 | loss 0.0660 | val Dice 0.9735 | 42.9s
ep   9/60 | loss 0.0586 | val Dice 0.9692 | 43.1s
ep  10/60 | loss 0.0536 | val Dice 0.9742 | 43.0s
ep  11/60 | loss 0.0496 | val Dice 0.9742 | 43.8s
ep  12/60 | loss 0.0462 | val Dice 0.9736 | 44.2s
ep  13/60 | loss 0.0451 | val Dice 0.9761 | 42.4s
ep  14/60 | loss 0.0429 | val Dice 0.9757 | 42.8s
ep  15/60 | loss 0.0405 | val Dice 0.9767 | 40.5s
ep  16/60 | loss 0.0426 | val Dice 0.9735 | 41.3s
ep  17/60 | loss 0.0414 | val Dice 0.9772 | 42.7s
ep  18/60 | loss 0.0390 | val Dice 0.9736 | 44.1s
ep  19/60 | loss 0.0372 | val Dice 0.9765 | 41.6s
ep  20/60 | loss 0.0382 | val Dice 0.9771 | 40.8s
ep  21/60 | loss 0.0362 | val Dice 0.9779 | 42.9s
ep  22/60 | loss 0.0353 | val Dice 0.9762 | 41.3s
ep  23/60 | loss 0.0345 | val Dice 0.9791 | 42.9s
ep  24/60 | loss 0.0343 | val Dice 0.9786 | 42.0s
ep  25/60 | loss 0.0334 | val Dice 0.9782 | 42.4s
ep  26/60 | loss 0.0331 | val Dice 0.9790 | 42.9s
ep  27/60 | loss 0.0325 | val Dice 0.9791 | 40.7s
ep  28/60 | loss 0.0325 | val Dice 0.9793 | 42.4s
ep  29/60 | loss 0.0316 | val Dice 0.9793 | 41.0s
ep  30/60 | loss 0.0314 | val Dice 0.9795 | 44.5s
ep  31/60 | loss 0.0312 | val Dice 0.9796 | 43.3s
ep  32/60 | loss 0.0304 | val Dice 0.9784 | 46.9s
ep  33/60 | loss 0.0300 | val Dice 0.9778 | 46.7s
ep  34/60 | loss 0.0294 | val Dice 0.9806 | 43.5s
ep  35/60 | loss 0.0290 | val Dice 0.9803 | 42.4s
ep  36/60 | loss 0.0286 | val Dice 0.9803 | 43.1s
ep  37/60 | loss 0.0282 | val Dice 0.9811 | 43.6s
ep  38/60 | loss 0.0277 | val Dice 0.9808 | 45.5s
ep  39/60 | loss 0.0275 | val Dice 0.9818 | 44.1s
ep  40/60 | loss 0.0273 | val Dice 0.9829 | 43.4s
ep  41/60 | loss 0.0267 | val Dice 0.9827 | 44.2s
ep  42/60 | loss 0.0264 | val Dice 0.9825 | 42.9s
ep  43/60 | loss 0.0266 | val Dice 0.9826 | 44.1s
ep  44/60 | loss 0.0259 | val Dice 0.9829 | 43.9s
ep  45/60 | loss 0.0257 | val Dice 0.9833 | 44.5s
ep  46/60 | loss 0.0258 | val Dice 0.9835 | 43.3s
ep  47/60 | loss 0.0257 | val Dice 0.9844 | 44.9s
ep  48/60 | loss 0.0252 | val Dice 0.9831 | 44.0s
ep  49/60 | loss 0.0252 | val Dice 0.9840 | 40.5s
ep  50/60 | loss 0.0253 | val Dice 0.9828 | 41.6s
ep  51/60 | loss 0.0251 | val Dice 0.9842 | 42.4s
ep  52/60 | loss 0.0246 | val Dice 0.9833 | 47.8s
ep  53/60 | loss 0.0250 | val Dice 0.9841 | 43.2s
ep  54/60 | loss 0.0248 | val Dice 0.9844 | 43.1s
ep  55/60 | loss 0.0249 | val Dice 0.9841 | 42.2s
ep  56/60 | loss 0.0246 | val Dice 0.9837 | 44.2s
ep  57/60 | loss 0.0246 | val Dice 0.9841 | 43.1s
ep  58/60 | loss 0.0241 | val Dice 0.9842 | 42.9s
ep  59/60 | loss 0.0242 | val Dice 0.9843 | 41.7s
ep  60/60 | loss 0.0249 | val Dice 0.9840 | 39.8s
selesai. best val Dice 0.9844 -> C:\BRINDATA\EKG-BRIN\training\checkpoints/unet_best.pt
